,job_title,job_link,company_name,company_link,salary,currency,category,contract,experience,benefit,requirement,industry,company_size,company_location,job_location,posted,updated,scrapped_time
0,[Glints 5 Ngày] Data Engineer,https://glints.com/vn/opportunities/jobs/glints-5-ngay-data-engineer/36ac33b0-e07e-4d6c-ad42-c25cded5722f,"Bbv Vietnam Co., Ltd",https://glints.com/vn/companies/bbv-vietnam-co-ltd/404d66f8-15ed-4151-894e-0507abdddc14,VND40.000.000/month,VND,Software Engineering,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"Interpersonal Skills,English,Analyzing skills,SQL,ETL Tools",,,,Ho Chi Minh City,7 ngày trước,nhật 4 ngày trước,2022-11-11 13:42:04
1,[Glints 5 Ngày] Head Of Product,https://glints.com/vn/opportunities/jobs/glints-5-ngay-head-of-product/b19f62fd-eeca-4a17-ad4d-5e734364b767,Be Group,https://glints.com/vn/companies/be-group/6a190f56-1a16-4a44-84d7-f260eace4df1,USD7.000 - 10.000/month,USD,Product Management,Việc làm fulltime,5 - 10 năm kinh nghiệm,,"English,Strong Leadership Skills,Product Development",,201-500 nhân viên,"Địa chỉ văn phòngTầng 16, Tòa Nhà Sai Gon Tower, 29 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam.",Ho Chi Minh City,7 ngày trước,nhật 4 ngày trước,2022-11-11 13:42:09
2,[Glints 5 Ngày] Backend Developer,https://glints.com/vn/opportunities/jobs/glints-5-ngay-backend-developer/d0ebdb90-b828-424d-ba97-d283c5fe371f,Poc Pharma,https://glints.com/vn/companies/poc-pharma/d544166b-1b55-400f-a344-30e9cbcf8c94,USD1.000 - 4.000/month,USD,Software Engineering,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"Backend Developer,Data Structures,Critical Thinking,Algorithms,Problem-solving Skills",Pharmaceuticals,51-200 nhân viên,"Địa chỉ văn phòng 50 Tôn Thất Đạm, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",Ho Chi Minh City,7 ngày trước,nhật 4 ngày trước,2022-11-11 13:42:17
3,[Glints 5 Ngày] Senior/Lead Backend Engineer,https://glints.com/vn/opportunities/jobs/glints-5-ngay-senior-lead-backend-engineer/06f657a1-18b4-4f27-9f83-7641aef52d4f,Elfie,https://glints.com/vn/companies/elfie/f3c32e5b-d039-49aa-8359-c4da1f55edd8,USD3.500 - 5.500/month,USD,Software Engineering,Việc làm fulltime,5 - 10 năm kinh nghiệm,,"Nosql,Data Modeling,Cloud Infrastructure,nodejs,DevOps",,11-50 nhân viên,"Địa chỉ văn phòngTầng 2, 124 Điện Biên Phủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ho Chi Minh City,7 ngày trước,nhật 4 ngày trước,2022-11-11 13:42:21
4,[Glints 5 Ngày] Head of Sales,https://glints.com/vn/opportunities/jobs/glints-5-ngay-head-of-sales/e6915d35-8495-41fa-bca9-500f3cdd8bcd,John Hu Migration Consulting Viet Nam,https://glints.com/vn/companies/john-hu-migration-consulting-viet-nam/dc884e96-110b-482c-882b-40e7dc34a0a1,USD4.000/month,USD,Business Development / Sales,Việc làm fulltime,Hơn 10 năm kinh nghiệm,,"English,Financial Literacy,Stakeholder Management,Sales,Commercial Acumen",,11-50 nhân viên,,Ho Chi Minh City,8 ngày trước,nhật 4 ngày trước,2022-11-11 13:42:25
5,Data Analyst,https://glints.com/vn/opportunities/jobs/data-analyst/7ac42d81-4632-4f53-a3a1-9f4d34244965,Cốc Cốc,https://glints.com/vn/companies/coc-coc/4089a7b2-c480-4aaa-aa13-bdc414cdf9f3,USD700 - 1.300/month,USD,Data Science,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"SQL,DataVisualisation Skills,Mathematics",Information Technology and Services,201-500 nhân viên,,Hà Nội,11 ngày trước,nhật 11 ngày trước,2022-11-11 13:42:32
6,Data Analyst,https://glints.com/vn/opportunities/jobs/data-analyst/b7eab500-102f-40c0-8ec0-647e54f822af,Finan,https://glints.com/vn/companies/finan/7f174009-9dd1-491d-a556-65a83215698e,VND15.000.000 - 25.000.000/month,VND,Data Science,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"MySQL,Problem Solving,Teamwork,Business Objectives,Python,Database Design,Good Communication Skills,Data Analysis",Information Technology and Services,51-200 nhân viên,"Địa chỉ văn phòng198/10E Điện Biên Phủ, Phường 15, Quận Bình Thạnh, TPHCM",Ho Chi Minh City,10 tháng trước,nhật 1 tháng trước,2022-11-11 13:42:37
7,Data Analyst,https://glints.com/vn/opportunities/jobs/data-analyst/62097249-79eb-427c-a634-6d9fd7fb53dc,DRCOM,https://glints.com/vn/companies/drcom/d90fac59-e8b3-43ea-b4e0-7181bcda088f,,,Data Science,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"MySQL,CDP,Data Analysis",Hospital & Health Care,51-200 nhân viên,"Địa chỉ văn phòng131 Xô Viết Nghệ Tĩnh, P17, Bình Thạnh, TPHCM",Ho Chi Minh City,3 ngày trước,nhật hôm qua,2022-11-11 13:42:43
8,Data Analyst,https://glints.com/vn/opportunities/jobs/data-analyst/e0e2f739-72b1-4858-8b4e-01e34fb277b1,Công Ty CP Công Nghệ Sendo,https://glints.com/vn/companies/cong-ty-cp-cong-nghe-sendo/c2f4dc22-c6b9-452e-916f-a0d1cee3567b,VND30.000.000/month,VND,Data Science,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"Data Science,Business Intelligence,Data Analysis",Information Technology and Services,501 - 1000 nhân viên,"Địa chỉ văn phòngĐường Số 8, Tân Thuận Đông, Quận 7, TPHCM",Ho Chi Minh City,3 ngày trước,nhật 3 ngày trước,2022-11-11 13:42:50
9,Data Analyst,https://glints.com/vn/opportunities/jobs/data-analyst/1d91254f-cca7-4c58-9e49-5a5599b19432, CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MB SHINSEI (MCREDIT),https://glints.com/vn/companies/cong-ty-tai-chinh-trach-nhiem-huu-han-mb-shinsei-mcredit/7d2df1bd-1a7f-4ed7-932b-a9add54305e9,,,Data Science,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"Tableau,SQL,Python,Database,Data Analysis,Powerbi",Financial Services,"5001 - 10,000 nhân viên",,Hà Nội,9 ngày trước,nhật 9 ngày trước,2022-11-11 13:42:57
